Item	Category	Sources
Asphodelos Earrings of Aiming	Loot	Asphodelos Earring Coffer (IL 600)
Asphodelos Earrings of Fending	Loot	Asphodelos Earring Coffer (IL 600)
Manalis Earrings of Casting	Instance	Lapis Manalis
Troian Earrings of Fending	Instance	The Fell Court of Troia
Manalis Earrings of Fending	Instance	Lapis Manalis
Asphodelos Earrings of Healing	Loot	Asphodelos Earring Coffer (IL 600)
Troian Earrings of Casting	Instance	The Fell Court of Troia
Manalis Earrings of Aiming	Instance	Lapis Manalis
Manalis Earrings of Healing	Instance	Lapis Manalis
Alliance Bracelet of Casting	Instance	The Ghimlyt Dark
Troian Earrings of Aiming	Instance	The Fell Court of Troia
Islewolf Bracelet of Aiming	Loot	White Oak Bracelet Coffer (IL 385)
Diamond Bracelet of Fending	Loot	Diamond Bracelet Coffer (IL 370)
Dai-ryumyaku Bracelet of Fending	Loot	Dai-ryumyaku Accessories of Fending Coffer (IL 370)
Dai-ryumyaku Bracelet of Healing	Loot	Dai-ryumyaku Accessories of Healing Coffer (IL 370)
Islewolf Bracelet of Fending	Loot	White Oak Bracelet Coffer (IL 385)
Islewolf Bracelet of Healing	Loot	White Oak Bracelet Coffer (IL 385)
Diamond Bracelet of Slaying	Loot	Diamond Bracelet Coffer (IL 370)
Diamond Bracelet of Aiming	Loot	Diamond Bracelet Coffer (IL 370)
Diamond Bracelet of Healing	Loot	Diamond Bracelet Coffer (IL 370)
Dai-ryumyaku Bracelet of Aiming	Loot	Dai-ryumyaku Accessories of Aiming Coffer (IL 370)
Alliance Bracelet of Aiming	Instance	The Ghimlyt Dark
Dai-ryumyaku Bracelet of Slaying	Loot	Dai-ryumyaku Accessories of Slaying Coffer (IL 370)
Alliance Bracelet of Healing	Instance	The Ghimlyt Dark
Islewolf Bracelet of Slaying	Loot	White Oak Bracelet Coffer (IL 385)
Dai-ryumyaku Bracelet of Casting	Loot	Dai-ryumyaku Accessories of Casting Coffer (IL 370)
Alliance Bracelet of Fending	Instance	The Ghimlyt Dark
Alliance Bracelet of Slaying	Instance	The Ghimlyt Dark
Diamond Bracelet of Casting	Loot	Diamond Bracelet Coffer (IL 370)
Coeurl Talisman	Loot	Coeurl Beach Menswear Coffer
Coeurl Beach Halter	Loot	Coeurl Beach Womenswear Coffer
Endless Summer Top	Loot	Endless Summer Coffer
Diabolic Hat of Healing	Instance	Dun Scaith
Filibuster's Beret of Aiming	Instance	Baelsar's Wall	Sohm Al (Hard)
Filibuster's Helm of Fending	Instance	Baelsar's Wall	Sohm Al (Hard)
Augmented Torrent Mask of Aiming	Loot	Torrent Attire of Aiming Coffer (IL 240)
Augmented Torrent Halfmask of Scouting	Loot	Torrent Attire of Scouting Coffer (IL 240)
Filibuster's Helm of Maiming	Instance	Baelsar's Wall	Sohm Al (Hard)
Filibuster's Hood of Casting	Instance	Baelsar's Wall	Sohm Al (Hard)
Softstepper's Turban	Loot	Softstepper's Attire Coffer (IL 255)
Outsider's Circlet	Loot	Outsider's Attire Coffer (IL 255)
Midan Mask of Maiming	Loot	Midan Head Gear Coffer (IL 240)
Augmented Hellfire Mask of Striking	Loot	Hellfire Armor of Striking Coffer (IL 240)
Midan Goggles of Scouting	Loot	Midan Head Gear Coffer (IL 240)
Augmented Hellfire Mask of Fending	Loot	Hellfire Armor of Fending Coffer (IL 240)
Augmented Slipstream Helm of Maiming	Loot	Slipstream Armor of Maiming Coffer (IL 240)
Midan Headband of Fending	Loot	Midan Head Gear Coffer (IL 240)
Filibuster's Halfmask of Scouting	Instance	Baelsar's Wall	Sohm Al (Hard)
Midan Mask of Striking	Loot	Midan Head Gear Coffer (IL 240)
Filibuster's Hood of Healing	Instance	Baelsar's Wall	Sohm Al (Hard)
Argute Gloves	Loot	Argute Attire Coffer (IL 90)
Sorcerer's Gloves	Loot	Sorcerer's Attire Coffer (IL 90)
Crimson Celestial Gloves	Instance	The Labyrinth of the Ancients
Heavy Allagan Gauntlets	Loot	Allagan Hand Gear Coffer (IL 90)
Cuffs of the Divine Light	Instance	Hullbreaker Isle	The Tam-Tara Deepcroft (Hard)	The Stone Vigil (Hard)
Vambraces of Divine Wisdom	Instance	Hullbreaker Isle	The Tam-Tara Deepcroft (Hard)	The Stone Vigil (Hard)
Koga Tekko	Loot	Koga Garb Coffer (IL 90)
Cleric's Gloves	Loot	Cleric's Attire Coffer (IL 90)
Allagan Gloves of Healing	Loot	Allagan Hand Gear Coffer (IL 90)
Allagan Gauntlets of Striking	Loot	Allagan Hand Gear Coffer (IL 90)
Bard's Ringbands	Loot	Bard's Attire Coffer (IL 90)
Saurian Gloves of Healing	Loot	Astrologian's Attire Coffer (IL 90)
Summoner's Ringbands	Loot	Summoner's Attire Coffer (IL 90)
Onion Gauntlets	Instance	The Labyrinth of the Ancients
Royal Celestial Gloves	Instance	The Labyrinth of the Ancients
Cuffs of the Divine Hero	Instance	Hullbreaker Isle	The Tam-Tara Deepcroft (Hard)	The Stone Vigil (Hard)
Protector's Gauntlets	Instance	The Lost City of Amdapor	Halatali (Hard)	Brayflox's Longstop (Hard)
Ballad Gauntlets	Instance	The Labyrinth of the Ancients
Heavy Wolfram Gauntlets	Loot	Dark Knight's Armor Coffer (IL 90)
Halfgloves of the Divine Harvest	Instance	Hullbreaker Isle	The Tam-Tara Deepcroft (Hard)	The Stone Vigil (Hard)
Wyrm's Gauntlets	Loot	Wyrm's Armor Coffer (IL 90)
Darklight Gauntlets	Instance	The Lost City of Amdapor	Halatali (Hard)	Brayflox's Longstop (Hard)
Hussar's Gloves	Instance	The Lost City of Amdapor	Halatali (Hard)	Brayflox's Longstop (Hard)
Allagan Gloves of Casting	Loot	Allagan Hand Gear Coffer (IL 90)
Allagan Gauntlets of Aiming	Loot	Allagan Hand Gear Coffer (IL 90)
Vambraces of the Divine War	Instance	Hullbreaker Isle	The Tam-Tara Deepcroft (Hard)	The Stone Vigil (Hard)
Warrior's Gauntlets	Loot	Warrior's Armor Coffer (IL 90)
Halfgloves of Divine Death	Instance	Hullbreaker Isle	The Tam-Tara Deepcroft (Hard)	The Stone Vigil (Hard)
Gauntlets of Light	Instance	The Labyrinth of the Ancients
Scylla's Culottes of Casting	Instance	Syrcus Tower
Picaroon's Trousers of Striking	Instance	The Keeper of the Lake	The Wanderer's Palace (Hard)	Amdapor Keep (Hard)
Allagan Trousers of Striking	Loot	Allagan Leg Gear Coffer (IL 90)
The Guardian's Breeches of Striking	Instance	Syrcus Tower
Heavy Allagan Cuisses	Loot	Allagan Leg Gear Coffer (IL 90)
Wyrm's Breeches	Loot	Wyrm's Armor Coffer (IL 90)
Amon's Breeches	Instance	Syrcus Tower
Koga Hakama	Loot	Koga Garb Coffer (IL 90)
Warrior's Breeches	Loot	Warrior's Armor Coffer (IL 90)
Bogatyr's Slops of Casting	Instance	The Keeper of the Lake	The Wanderer's Palace (Hard)	Amdapor Keep (Hard)
Scylla's Culottes of Healing	Instance	Syrcus Tower
Picaroon's Trousers of Scouting	Instance	The Keeper of the Lake	The Wanderer's Palace (Hard)	Amdapor Keep (Hard)
Valor Cuisses	Loot	Valor Armor Coffer (IL 90)
Melee Gaskins	Loot	Melee Attire Coffer (IL 90)
Bogatyr's Slops of Healing	Instance	The Keeper of the Lake	The Wanderer's Palace (Hard)	Amdapor Keep (Hard)
Cashmere Skirt of Aiming	Loot	Junior Machinist's Armor Coffer (IL 90)
Bard's Tights	Loot	Bard's Attire Coffer (IL 90)
Summoner's Waistclout	Loot	Summoner's Attire Coffer (IL 90)
Cashmere Skirt of Healing	Loot	Astrologian's Attire Coffer (IL 90)
Allagan Breeches of Casting	Loot	Allagan Leg Gear Coffer (IL 90)
Allagan Gauntlets of Maiming	Loot	Allagan Hand Gear Coffer (IL 90)
Allagan Breeches of Healing	Loot	Allagan Leg Gear Coffer (IL 90)
Cleric's Culottes	Loot	Cleric's Attire Coffer (IL 90)
Heavy Wolfram Cuisses	Loot	Dark Knight's Armor Coffer (IL 90)
Coliseum Loincloth	Instance	Dzemael Darkhold
Harlequin's Tights	Instance	Dzemael Darkhold
Coliseum Subligar	Instance	Dzemael Darkhold
Vigil Sarouel	Instance	The Stone Vigil
Buccaneer's Sarouel	Instance	Dzemael Darkhold
Paladin's Trousers	Instance	Cutter's Cry
Vigil Tights	Instance	The Stone Vigil
Divining Gaskins	Instance	Cutter's Cry
Vigil Skirt	Instance	The Stone Vigil
Sentinel's Trousers	Instance	Dzemael Darkhold
True Blue Hat	Loot	True Blue Attire Coffer (IL 1)
Poacher's Kecks	Instance	Cutter's Cry
Templar's Skirt	Instance	Dzemael Darkhold
Barghest Helm	Loot	Barghest Attire Coffer
Shadowstalker's Helm	Loot	Shadowstalker's Attire Coffer
Hellhound Helm	Loot	Hellhound Attire Coffer
Moddey Dhoo Helm	Loot	Moddey Dhoo Attire Coffer
Gunro Kabuto	Loot	Gunro Armor Coffer
Koro Kabuto	Loot	Koro Armor Coffer
Spotted Fedora	Loot	Spotted Attire Coffer
Grey Hound Helm	Loot	Grey Hound Armor Coffer
Shadowcleaver's Helm	Loot	Shadowcleaver's Attire Coffer
False Monarchy Mask	Loot	False Monarchy Attire Coffer
Archfiend Helm	Loot	Archfiend Attire Coffer
Abyssos Boots of Casting	Loot	Abyssos Foot Gear Coffer (IL 630)
Distance Sollerets of Maiming	Instance	The Aetherfont
Abyssos Boots of Healing	Loot	Abyssos Foot Gear Coffer (IL 630)
Distance Sollerets of Fending	Instance	The Aetherfont
Hypostatic Shoes of Healing	Instance	Euphrosyne
Hypostatic Shoes of Casting	Instance	Euphrosyne
Hypostatic Sabatons of Striking	Instance	Euphrosyne
Distance Greaves of Healing	Instance	The Aetherfont
Hypostatic Sabatons of Scouting	Instance	Euphrosyne
Distance Greaves of Scouting	Instance	The Aetherfont
Hypostatic Sollerets of Maiming	Instance	Euphrosyne
Distance Greaves of Casting	Instance	The Aetherfont
Hypostatic Sabatons of Aiming	Instance	Euphrosyne
Distance Greaves of Aiming	Instance	The Aetherfont
Distance Greaves of Striking	Instance	The Aetherfont
Paglth'an Sandals of Casting	Instance	Paglth'an
Paglth'an Boots of Aiming	Instance	Paglth'an
Paglth'an Sandals of Healing	Instance	Paglth'an
Augmented Crystarium Thighboots of Maiming	Loot	Crystarium Gear of Maiming Coffer (IL 500)
Augmented Crystarium Shoes of Healing	Loot	Crystarium Gear of Healing Coffer (IL 500)
Paglth'an Greaves of Scouting	Instance	Paglth'an
Edenchoir Boots of Healing	Loot	Edenchoir Foot Gear Coffer (IL 500)
Augmented Crystarium Boots of Aiming	Loot	Crystarium Gear of Aiming Coffer (IL 500)
Augmented Crystarium Thighboots of Fending	Loot	Crystarium Gear of Fending Coffer (IL 500)
Edenchoir Sollerets of Striking	Loot	Edenchoir Foot Gear Coffer (IL 500)
Edenchoir Sollerets of Maiming	Loot	Edenchoir Foot Gear Coffer (IL 500)
Edenchoir Boots of Casting	Loot	Edenchoir Foot Gear Coffer (IL 500)
Paglth'an Boots of Fending	Instance	Paglth'an
Edenchoir Shoes of Aiming	Loot	Edenchoir Foot Gear Coffer (IL 500)
YoRHa Type-53 Boots of Scouting	Instance	The Puppets' Bunker
Paglth'an Boots of Maiming	Instance	Paglth'an
Edenchoir Sollerets of Fending	Loot	Edenchoir Foot Gear Coffer (IL 500)
Augmented Crystarium Shoes of Striking	Loot	Crystarium Gear of Striking Coffer (IL 500)
Augmented Crystarium Boots of Scouting	Loot	Crystarium Gear of Scouting Coffer (IL 500)
YoRHa Type-53 Boots of Striking	Instance	The Puppets' Bunker
YoRHa Type-53 Boots of Fending	Instance	The Puppets' Bunker
Paglth'an Greaves of Striking	Instance	Paglth'an
Edenchoir Sollerets of Scouting	Loot	Edenchoir Foot Gear Coffer (IL 500)
YoRHa Type-53 Boots of Maiming	Instance	The Puppets' Bunker
Ascension Necklace of Healing	Loot	Ascension Necklace Coffer (IL 660)
Ascension Necklace of Casting	Loot	Ascension Necklace Coffer (IL 660)
Abyssos Choker of Casting	Loot	Abyssos Necklace Coffer (IL 630)
Abyssos Choker of Healing	Loot	Abyssos Necklace Coffer (IL 630)
Distance Choker of Fending	Instance	The Aetherfont
Distance Choker of Slaying	Instance	The Aetherfont
Abyssos Choker of Slaying	Loot	Abyssos Necklace Coffer (IL 630)
Ascension Necklace of Slaying	Loot	Ascension Necklace Coffer (IL 660)
Ascension Necklace of Aiming	Loot	Ascension Necklace Coffer (IL 660)
Abyssos Choker of Aiming	Loot	Abyssos Necklace Coffer (IL 630)
Abyssos Choker of Fending	Loot	Abyssos Necklace Coffer (IL 630)
Darbar Boots of Maiming	Instance	Alzadaal's Legacy
Darbar Boots of Striking	Instance	Alzadaal's Legacy
Darbar Thighboots of Casting	Instance	Alzadaal's Legacy
Darbar Thighboots of Scouting	Instance	Alzadaal's Legacy
Darbar Thighboots of Aiming	Instance	Alzadaal's Legacy
Darbar Boots of Fending	Instance	Alzadaal's Legacy
Darbar Thighboots of Healing	Instance	Alzadaal's Legacy
Ascension Necklace of Fending	Loot	Ascension Necklace Coffer (IL 660)
White Ash Earring of Slaying	Loot	Bluespirit Earring Coffer (IL 403)
Omega Ear Cuff of Healing	Loot	Omega Earring Coffer (IL 400)
White Ash Earring of Casting	Loot	Bluespirit Earring Coffer (IL 403)
Diaspore Earrings of Fending	Loot	Deepgold Earring Coffer (IL 395)
Hematite Earrings of Slaying	Loot	White Oak Earring Coffer (IL 385)
Augmented Scaevan Ear Cuff of Healing	Loot	Scaevan Accessories of Healing Coffer
Lakeland Earring of Fending	Instance	Holminster Switch
Lakeland Earring of Casting	Instance	Holminster Switch
Omega Ear Cuff of Slaying	Loot	Omega Earring Coffer (IL 400)
Omega Ear Cuff of Casting	Loot	Omega Earring Coffer (IL 400)
Voeburtite Earring of Slaying	Instance	Dohn Mheg
White Ash Earring of Healing	Loot	Bluespirit Earring Coffer (IL 403)
Lakeland Earring of Healing	Instance	Holminster Switch
Diaspore Earrings of Aiming	Loot	Deepgold Earring Coffer (IL 395)
Augmented Scaevan Ear Cuff of Aiming	Loot	Scaevan Accessories of Aiming Coffer
Diaspore Earrings of Slaying	Loot	Deepgold Earring Coffer (IL 395)
Voeburtite Earring of Aiming	Instance	Dohn Mheg
Hematite Earrings of Aiming	Loot	White Oak Earring Coffer (IL 385)
Voeburtite Earring of Healing	Instance	Dohn Mheg
Voeburtite Earring of Fending	Instance	Dohn Mheg
Augmented Scaevan Ear Cuff of Fending	Loot	Scaevan Accessories of Fending Coffer
White Ash Earring of Fending	Loot	Bluespirit Earring Coffer (IL 403)
Lakeland Earring of Slaying	Instance	Holminster Switch
Voeburtite Earring of Casting	Instance	Dohn Mheg
Lakeland Earring of Aiming	Instance	Holminster Switch
Omega Ear Cuff of Aiming	Loot	Omega Earring Coffer (IL 400)
Diaspore Earrings of Healing	Loot	Deepgold Earring Coffer (IL 395)
White Ash Earring of Aiming	Loot	Bluespirit Earring Coffer (IL 403)
Omega Ear Cuff of Fending	Loot	Omega Earring Coffer (IL 400)
Alexandrian Gloves of Scouting	Loot	Alexandrian Hand Gear Coffer (IL 270)
Hematite Earrings of Healing	Loot	White Oak Earring Coffer (IL 385)
Hematite Earrings of Fending	Loot	White Oak Earring Coffer (IL 385)
Hematite Earrings of Casting	Loot	White Oak Earring Coffer (IL 385)
Diabolic Halfgloves of Casting	Instance	Dun Scaith
Alexandrian Gloves of Striking	Loot	Alexandrian Hand Gear Coffer (IL 270)
Diabolic Gauntlets of Maiming	Instance	Dun Scaith
Outsider's Gloves	Loot	Outsider's Attire Coffer (IL 255)
Diabolic Dress Gloves of Healing	Instance	Dun Scaith
Diabolic Gloves of Striking	Instance	Dun Scaith
Alexandrian Gloves of Aiming	Loot	Alexandrian Hand Gear Coffer (IL 270)
Alexandrian Gloves of Healing	Loot	Alexandrian Hand Gear Coffer (IL 270)
Diabolic Gauntlets of Fending	Instance	Dun Scaith
Alexandrian Gloves of Casting	Loot	Alexandrian Hand Gear Coffer (IL 270)
Diabolic Gloves of Scouting	Instance	Dun Scaith
Softstepper's Gloves	Loot	Softstepper's Attire Coffer (IL 255)
Grape Purple Dye	Instance	The Aery
Lavender Purple Dye	Instance	The Aery
Iris Purple Dye	Instance	The Aery
Currant Purple Dye	Instance	The Aery
Brigand's Breeches	Instance	The Thousand Maws of Toto-Rak
Doctore's Subligar	Instance	Halatali
Warden's Trousers	Instance	The Thousand Maws of Toto-Rak
Foestriker's Skirt	Instance	Sastasha	The Tam-Tara Deepcroft	Copperbell Mines
Doctore's Trousers	Instance	Halatali
Doctore's Tights	Instance	Halatali
Acolyte's Skirt	Instance	Sastasha	The Tam-Tara Deepcroft	Copperbell Mines
Voeburtite Armillae of Fending	Instance	Dohn Mheg
Nabaath Wristband of Aiming	Instance	Malikah's Well
Ravel Keeper's Bracelet of Aiming	Instance	The Qitana Ravel
Voeburtite Armillae of Casting	Instance	Dohn Mheg
Ravel Keeper's Bracelet of Slaying	Instance	The Qitana Ravel
Triplite Bracelet of Healing	Loot	Titanbronze Bracelet Coffer (IL 409)
Lakeland Amulet of Fending	Instance	Holminster Switch
Lakeland Amulet of Aiming	Instance	Holminster Switch
Ascetic's Tights	Instance	The Thousand Maws of Toto-Rak
Voeburtite Armillae of Healing	Instance	Dohn Mheg
Gordian Earrings of Healing	Instance	Alexander - The Fist of the Father (Savage)
Lakeland Amulet of Healing	Instance	Holminster Switch
Dravanian Earrings of Casting	Instance	The Antitower	The Lost City of Amdapor (Hard)
Atrociraptorskin Amulet of Fending	Loot	Bluespirit Bracelet Coffer (IL 403)
Plague Bringer's Earrings	Instance	Saint Mocianne's Arboretum	Pharos Sirius (Hard)
Nabaath Wristband of Casting	Instance	Malikah's Well
Ravel Keeper's Bracelet of Casting	Instance	The Qitana Ravel
Atrociraptorskin Amulet of Slaying	Loot	Bluespirit Bracelet Coffer (IL 403)
Diaspore Bracelet of Aiming	Loot	Deepgold Bracelet Coffer (IL 395)
Dravanian Earrings of Fending	Instance	The Antitower	The Lost City of Amdapor (Hard)
Atrociraptorskin Amulet of Healing	Loot	Bluespirit Bracelet Coffer (IL 403)
Gordian Earrings of Casting	Instance	Alexander - The Fist of the Father (Savage)
Augmented Scaevan Bracelet of Healing	Loot	Scaevan Accessories of Healing Coffer
Voeburtite Armillae of Aiming	Instance	Dohn Mheg
Omega Bracelet of Aiming	Loot	Omega Bracelet Coffer (IL 400)
Augmented Scaevan Bracelet of Casting	Loot	Scaevan Accessories of Casting Coffer
Voeburtite Armillae of Slaying	Instance	Dohn Mheg
Diaspore Bracelet of Healing	Loot	Deepgold Bracelet Coffer (IL 395)
Omega Bracelet of Healing	Loot	Omega Bracelet Coffer (IL 400)
Triplite Bracelet of Aiming	Loot	Titanbronze Bracelet Coffer (IL 409)
Triplite Bracelet of Fending	Loot	Titanbronze Bracelet Coffer (IL 409)
Berserker's Earrings	Instance	Sohr Khai	Hullbreaker Isle (Hard)
Gordian Earrings of Fending	Instance	Alexander - The Fist of the Father (Savage)
Dravanian Earrings of Slaying	Instance	The Antitower	The Lost City of Amdapor (Hard)
Gordian Earrings of Aiming	Instance	Alexander - The Fist of the Father (Savage)
Nabaath Wristband of Fending	Instance	Malikah's Well
Panegyrist's Earrings	Instance	Sohr Khai	Hullbreaker Isle (Hard)
Ravel Keeper's Bracelet of Fending	Instance	The Qitana Ravel
Atrociraptorskin Amulet of Aiming	Loot	Bluespirit Bracelet Coffer (IL 403)
Omega Bracelet of Casting	Loot	Omega Bracelet Coffer (IL 400)
Omega Bracelet of Slaying	Loot	Omega Bracelet Coffer (IL 400)
Triplite Bracelet of Slaying	Loot	Titanbronze Bracelet Coffer (IL 409)
Earrings of the Daring Duelist	Instance	Saint Mocianne's Arboretum	Pharos Sirius (Hard)
Viking Earrings	Instance	Sohr Khai	Hullbreaker Isle (Hard)
Dravanian Earrings of Aiming	Instance	The Antitower	The Lost City of Amdapor (Hard)
Ravel Keeper's Bracelet of Healing	Instance	The Qitana Ravel
Prophet's Earrings	Instance	Sohr Khai	Hullbreaker Isle (Hard)
Lakeland Amulet of Slaying	Instance	Holminster Switch
Earrings of the Defiant Duelist	Instance	Saint Mocianne's Arboretum	Pharos Sirius (Hard)
Diaspore Bracelet of Fending	Loot	Deepgold Bracelet Coffer (IL 395)
Earrings of the Lost Thief	Instance	Saint Mocianne's Arboretum	Pharos Sirius (Hard)
Lakeland Amulet of Casting	Instance	Holminster Switch
Augmented Scaevan Bracelet of Aiming	Loot	Scaevan Accessories of Aiming Coffer
Omega Bracelet of Fending	Loot	Omega Bracelet Coffer (IL 400)
Diaspore Bracelet of Casting	Loot	Deepgold Bracelet Coffer (IL 395)
Nabaath Wristband of Healing	Instance	Malikah's Well
Augmented Scaevan Bracelet of Fending	Loot	Scaevan Accessories of Fending Coffer
Augmented Scaevan Bracelet of Slaying	Loot	Scaevan Accessories of Slaying Coffer
Dravanian Earrings of Healing	Instance	The Antitower	The Lost City of Amdapor (Hard)
Atrociraptorskin Amulet of Casting	Loot	Bluespirit Bracelet Coffer (IL 403)
Plague Doctor's Earrings	Instance	Saint Mocianne's Arboretum	Pharos Sirius (Hard)
Valerian Archer's Choker	Instance	Castrum Abania
Arhat Necklace of Aiming	Instance	Ala Mhigo	Kugane Castle	The Temple of the Fist
Arhat Necklace of Healing	Instance	Ala Mhigo	Kugane Castle	The Temple of the Fist
Skallic Necklace of Aiming	Instance	The Drowned City of Skalla
Arhat Necklace of Slaying	Instance	Ala Mhigo	Kugane Castle	The Temple of the Fist
Skallic Necklace of Healing	Instance	The Drowned City of Skalla
Valerian Priest's Choker	Instance	Castrum Abania
Xenobian Paladin's Choker	Instance	Castrum Abania
Valerian Dark Priest's Choker	Instance	Castrum Abania
Arhat Necklace of Casting	Instance	Ala Mhigo	Kugane Castle	The Temple of the Fist
Skallic Necklace of Casting	Instance	The Drowned City of Skalla
Yanxian Necklace of Casting	Instance	Doma Castle
Nomad's Choker of Slaying	Instance	Bardam's Mettle
Nomad's Choker of Aiming	Instance	Bardam's Mettle
Nomad's Choker of Fending	Instance	Bardam's Mettle
Nomad's Choker of Casting	Instance	Bardam's Mettle
Yanxian Necklace of Aiming	Instance	Doma Castle
Yanxian Necklace of Slaying	Instance	Doma Castle
Yanxian Necklace of Fending	Instance	Doma Castle
Yanxian Necklace of Healing	Instance	Doma Castle
Nomad's Choker of Healing	Instance	Bardam's Mettle
Arhat Necklace of Fending	Instance	Ala Mhigo	Kugane Castle	The Temple of the Fist
Valkyrie's Cuirass of Fending	Instance	Xelphatol	The Great Gubal Library (Hard)
Yafaemi Jacket of Healing	Instance	The Weeping City of Mhach
Yafaemi Cyclas of Striking	Instance	The Weeping City of Mhach
Valkyrie's Cuirass of Maiming	Instance	Xelphatol	The Great Gubal Library (Hard)
Valkyrie's Coat of Casting	Instance	Xelphatol	The Great Gubal Library (Hard)
Yafaemi Mail of Fending	Instance	The Weeping City of Mhach
Yafaemi Mail of Maiming	Instance	The Weeping City of Mhach
Valkyrie's Coat of Healing	Instance	Xelphatol	The Great Gubal Library (Hard)
Valkyrie's Coat of Aiming	Instance	Xelphatol	The Great Gubal Library (Hard)
Yafaemi Jacket of Casting	Instance	The Weeping City of Mhach
Filibuster's Boots of Casting	Instance	Baelsar's Wall	Sohm Al (Hard)
Midan Sabatons of Fending	Loot	Midan Foot Gear Coffer (IL 240)
Augmented Hailstorm Boots of Healing	Loot	Hailstorm Attire of Healing Coffer (IL 240)
Valkyrie's Coat of Striking	Instance	Xelphatol	The Great Gubal Library (Hard)
Filibuster's Boots of Scouting	Instance	Baelsar's Wall	Sohm Al (Hard)
Filibuster's Thighboots of Striking	Instance	Baelsar's Wall	Sohm Al (Hard)
Augmented Hellfire Sabatons of Fending	Loot	Hellfire Armor of Fending Coffer (IL 240)
Midan Boots of Scouting	Loot	Midan Foot Gear Coffer (IL 240)
Filibuster's Boots of Healing	Instance	Baelsar's Wall	Sohm Al (Hard)
Augmented Torrent Boots of Aiming	Loot	Torrent Attire of Aiming Coffer (IL 240)
Midan Boots of Maiming	Loot	Midan Foot Gear Coffer (IL 240)
Augmented Hellfire Sabatons of Striking	Loot	Hellfire Armor of Striking Coffer (IL 240)
Augmented Hailstorm Boots of Casting	Loot	Hailstorm Attire of Casting Coffer (IL 240)
Midan Boots of Healing	Loot	Midan Foot Gear Coffer (IL 240)
Midan Boots of Striking	Loot	Midan Foot Gear Coffer (IL 240)
Midan Boots of Casting	Loot	Midan Foot Gear Coffer (IL 240)
Filibuster's Thighboots of Aiming	Instance	Baelsar's Wall	Sohm Al (Hard)
Midan Boots of Aiming	Loot	Midan Foot Gear Coffer (IL 240)
Augmented Torrent Boots of Scouting	Loot	Torrent Attire of Scouting Coffer (IL 240)
Nomad's Armguards of Maiming	Instance	Bardam's Mettle
Ghost Barque Vambraces of Striking	Instance	The Sirensong Sea
Filibuster's Heavy Boots of Fending	Instance	Baelsar's Wall	Sohm Al (Hard)
Nomad's Armguards of Scouting	Instance	Bardam's Mettle
Shisui Kote of Striking	Instance	Shisui of the Violet Tides
Nomad's Armguards of Aiming	Instance	Bardam's Mettle
Ghost Barque Gloves of Casting	Instance	The Sirensong Sea
Nomad's Armlets of Striking	Instance	Bardam's Mettle
Ghost Barque Long Gloves of Scouting	Instance	The Sirensong Sea
Shisui Kote of Aiming	Instance	Shisui of the Violet Tides
Shisui Kote of Healing	Instance	Shisui of the Violet Tides
Nomad's Armguards of Casting	Instance	Bardam's Mettle
Ghost Barque Armlets of Maiming	Instance	The Sirensong Sea
Ghost Barque Armguards of Healing	Instance	The Sirensong Sea
Ghost Barque Gloves of Fending	Instance	The Sirensong Sea
Shisui Kote of Scouting	Instance	Shisui of the Violet Tides
Shisui Kote of Maiming	Instance	Shisui of the Violet Tides
Ghost Barque Gauntlets of Aiming	Instance	The Sirensong Sea
Shisui Kote of Casting	Instance	Shisui of the Violet Tides
Onion Armor	Instance	The Labyrinth of the Ancients
Darklight Corselet of Striking	Instance	The Lost City of Amdapor	Halatali (Hard)	Brayflox's Longstop (Hard)
Royal Vest	Instance	The Labyrinth of the Ancients
Heavy Darklight Armor	Instance	The Lost City of Amdapor	Halatali (Hard)	Brayflox's Longstop (Hard)
Hussar's Jackcoat	Instance	The Lost City of Amdapor	Halatali (Hard)	Brayflox's Longstop (Hard)
Armor of Light	Instance	The Labyrinth of the Ancients
Darklight Cowl of Casting	Instance	The Lost City of Amdapor	Halatali (Hard)	Brayflox's Longstop (Hard)
Magician's Robe	Instance	The Lost City of Amdapor	Halatali (Hard)	Brayflox's Longstop (Hard)
Cuirass of Divine Wisdom	Instance	Hullbreaker Isle	The Tam-Tara Deepcroft (Hard)	The Stone Vigil (Hard)
Robe of Divine Death	Instance	Hullbreaker Isle	The Tam-Tara Deepcroft (Hard)	The Stone Vigil (Hard)
Robe of the Divine Harvest	Instance	Hullbreaker Isle	The Tam-Tara Deepcroft (Hard)	The Stone Vigil (Hard)
Fistfighter's Jackcoat	Instance	The Lost City of Amdapor	Halatali (Hard)	Brayflox's Longstop (Hard)
Cashmere Robe of Healing	Loot	Astrologian's Attire Coffer (IL 90)
Ballad Corselet	Instance	The Labyrinth of the Ancients
Darklight Corselet of Aiming	Instance	The Lost City of Amdapor	Halatali (Hard)	Brayflox's Longstop (Hard)
Cleric's Robe	Loot	Cleric's Attire Coffer (IL 90)
Darklight Cowl of Healing	Instance	The Lost City of Amdapor	Halatali (Hard)	Brayflox's Longstop (Hard)
Fuma Koromo	Instance	The Labyrinth of the Ancients
Darklight Cuirass	Instance	The Lost City of Amdapor	Halatali (Hard)	Brayflox's Longstop (Hard)
Shirt of the Divine Hero	Instance	Hullbreaker Isle	The Tam-Tara Deepcroft (Hard)	The Stone Vigil (Hard)
Allagan Tunic of Healing	Loot	Allagan Chest Gear Coffer (IL 90)
